开学	kāi xué	Start of school	
新年	xīn nián	New year	
白酒	bái jiǔ	Liquor	
酒	jiǔ	Liquor	
米酒	mǐ jiǔ	Rice wine	
酒酿	jiǔ niàng	Fermented rice	
饮料	yǐn liào	Drinks	
蘑菇	mó gū	Mushroom	
洋葱	yáng cōng	Onion	
热红酒	rè hóng jiǔ	Mulled wine	
在中国	zài zhōng guó	In china	
法国蜗牛	fǎ guó wō niú	French snails	
墨西哥	mò xī gē	Mexico	
一般般	yì bān bān	So so	
中国朋友	zhōng guó péng yǒu	Chinese friends	
火	huǒ	Fire	
奶茶	nǎi chá	Milk tea	
推荐	tuī jiàn	Recommend	
乡村	xiāng cūn	Rural	
烟火	yān huǒ	Fireworks	
红包	hóng bāo	Red envelope	
上车饺子	shàng chē jiǎo zi	Dumplings on the train	
下车面	xià chē miàn	Alighting surface	
骑自行车	qí zì xíng chē	Cycling	
做年糕	zuò nián gāo	Make rice cakes	
爬山	pá shān	Climb mountains	
